method,n_early,fold,stratum,n_cells,coverage,mean_y_true
Gaussian_Process,100,2,high,7,1.0,713.1428833007812
Gaussian_Process,100,3,low,7,1.0,245.7142791748047
Gaussian_Process,100,3,mid,7,1.0,452.5714416503906
Gaussian_Process,100,3,high,7,1.0,677.7142944335938
Gaussian_Process,100,4,low,7,1.0,207.42857360839844
Gaussian_Process,100,4,mid,8,1.0,401.0
Gaussian_Process,100,4,high,7,0.8571428571428571,888.5714111328125
Gaussian_Process,150,0,low,7,1.0,249.0
Gaussian_Process,150,0,mid,8,1.0,427.25
Gaussian_Process,150,0,high,6,1.0,647.1666870117188
Gaussian_Process,150,1,low,7,1.0,245.42857360839844
Gaussian_Process,150,1,mid,8,1.0,445.875
Gaussian_Process,150,1,high,6,0.6666666666666666,746.6666870117188
Gaussian_Process,150,2,low,6,1.0,302.5
Gaussian_Process,150,2,mid,7,1.0,497.28570556640625
Gaussian_Process,150,2,high,6,0.8333333333333334,747.5
Gaussian_Process,150,3,low,7,1.0,245.7142791748047
Gaussian_Process,150,3,mid,7,1.0,452.5714416503906
Gaussian_Process,150,3,high,7,0.8571428571428571,677.7142944335938
Gaussian_Process,150,4,low,7,0.8571428571428571,259.4285583496094
Gaussian_Process,150,4,mid,6,0.6666666666666666,431.5
Gaussian_Process,150,4,high,7,0.8571428571428571,888.5714111328125
Heteroscedastic_MLP,50,0,low,7,1.0,227.57142639160156
Heteroscedastic_MLP,50,0,mid,9,1.0,407.77777099609375
Heteroscedastic_MLP,50,0,high,6,1.0,647.1666870117188
Heteroscedastic_MLP,50,1,low,7,1.0,228.42857360839844
Heteroscedastic_MLP,50,1,mid,9,0.8888888888888888,424.3333435058594
Heteroscedastic_MLP,50,1,high,6,0.5,746.6666870117188
Heteroscedastic_MLP,50,2,low,7,0.8571428571428571,183.0
Heteroscedastic_MLP,50,2,mid,8,0.875,473.25
Heteroscedastic_MLP,50,2,high,7,0.8571428571428571,713.1428833007812
Heteroscedastic_MLP,50,3,low,7,0.8571428571428571,220.42857360839844
Heteroscedastic_MLP,50,3,mid,8,1.0,427.0
Heteroscedastic_MLP,50,3,high,7,1.0,677.7142944335938
Heteroscedastic_MLP,50,4,low,7,1.0,207.42857360839844
Heteroscedastic_MLP,50,4,mid,8,1.0,401.0
Heteroscedastic_MLP,50,4,high,7,1.0,888.5714111328125
Heteroscedastic_MLP,100,0,low,7,0.8571428571428571,227.57142639160156
Heteroscedastic_MLP,100,0,mid,9,1.0,407.77777099609375
Heteroscedastic_MLP,100,0,high,6,1.0,647.1666870117188
Heteroscedastic_MLP,100,1,low,7,1.0,228.42857360839844
Heteroscedastic_MLP,100,1,mid,9,0.8888888888888888,424.3333435058594
Heteroscedastic_MLP,100,1,high,6,1.0,746.6666870117188
Heteroscedastic_MLP,100,2,low,7,0.8571428571428571,280.0
Heteroscedastic_MLP,100,2,mid,6,1.0,495.6666564941406
Heteroscedastic_MLP,100,2,high,7,1.0,713.1428833007812
Heteroscedastic_MLP,100,3,low,7,1.0,245.7142791748047
Heteroscedastic_MLP,100,3,mid,7,0.8571428571428571,452.5714416503906
Heteroscedastic_MLP,100,3,high,7,1.0,677.7142944335938
Heteroscedastic_MLP,100,4,low,7,1.0,207.42857360839844
Heteroscedastic_MLP,100,4,mid,8,1.0,401.0
Heteroscedastic_MLP,100,4,high,7,1.0,888.5714111328125
Heteroscedastic_MLP,150,0,low,7,0.8571428571428571,249.0
Heteroscedastic_MLP,150,0,mid,8,1.0,427.25
Heteroscedastic_MLP,150,0,high,6,1.0,647.1666870117188
Heteroscedastic_MLP,150,1,low,7,1.0,245.42857360839844
Heteroscedastic_MLP,150,1,mid,8,1.0,445.875
Heteroscedastic_MLP,150,1,high,6,1.0,746.6666870117188
Heteroscedastic_MLP,150,2,low,6,1.0,302.5
Heteroscedastic_MLP,150,2,mid,7,1.0,497.28570556640625
Heteroscedastic_MLP,150,2,high,6,1.0,747.5
Heteroscedastic_MLP,150,3,low,7,0.5714285714285714,245.7142791748047
Heteroscedastic_MLP,150,3,mid,7,1.0,452.5714416503906
Heteroscedastic_MLP,150,3,high,7,0.8571428571428571,677.7142944335938
Heteroscedastic_MLP,150,4,low,7,1.0,259.4285583496094
Heteroscedastic_MLP,150,4,mid,6,1.0,431.5
Heteroscedastic_MLP,150,4,high,7,1.0,888.5714111328125
