method,n_early,fold,n_cells,mae,mape_%,rmse,median_ae
Ensemble_NN,50,0,22.0,152.51294405850496,45.4694304546977,190.8793481814612,138.98422576904298
Ensemble_NN,50,1,22.0,193.71263085798785,47.233402102071345,282.14393273123466,139.03543121337887
Ensemble_NN,50,2,22.0,205.09407481800426,77.18153637218064,246.70815382742043,162.6144140625
Ensemble_NN,50,3,22.0,200.00496575615622,62.5548516902518,224.25823197550616,172.68251678466797
Ensemble_NN,50,4,22.0,243.19969096338207,58.585977694279045,360.1240540859482,133.29389694213864
Ensemble_NN,100,0,22.0,155.0775550148704,47.880355049551255,192.54378883550982,141.9761346435547
Ensemble_NN,100,1,22.0,188.2261972947554,48.376186487936,277.7308856430349,144.23321014404297
Ensemble_NN,100,2,20.0,196.25338936042786,48.31617921523504,250.81778289194983,171.98943674087522
Ensemble_NN,100,3,21.0,207.06934732800443,48.24636258928415,232.34302023718087,180.35968505859373
Ensemble_NN,100,4,22.0,241.95719351335,61.003936987596674,356.65472466996687,147.39609466552733
Ensemble_NN,150,0,21.0,151.92536937895278,39.696631263023264,182.42311693113643,159.61777221679688
Ensemble_NN,150,1,21.0,176.52356378464472,41.584069420691584,266.6454111138425,179.06428039550775
Ensemble_NN,150,2,19.0,186.8722094244706,39.40721727022713,250.906828766277,98.4425872802734
Ensemble_NN,150,3,21.0,218.5075639932075,51.836436372565956,239.72953409835267,213.27895568847663
Ensemble_NN,150,4,20.0,224.58425782012938,39.11000271197491,352.03442474709476,137.4574041748047
Gaussian_Process,50,0,22.0,94.46538406453152,30.51322667764761,150.74840332270807,40.677206835523805
Gaussian_Process,50,1,22.0,142.64452715007695,34.619187903467676,245.41554271751482,79.20362794451012
Gaussian_Process,50,2,22.0,180.90779744768412,118.02459791459319,268.85642937707917,81.94782385786922
Gaussian_Process,50,3,22.0,157.5940571549088,42.842285260596114,201.16079319194665,86.04004017854686
Gaussian_Process,50,4,22.0,207.6992583827084,61.564896980724264,332.39333786626827,113.59010900688517
Gaussian_Process,100,0,22.0,86.05475788192145,31.801131914293777,146.1492790256908,39.20144505062683
Gaussian_Process,100,1,22.0,128.897398392668,33.59246648694025,230.7966223560922,64.30740241553585
Gaussian_Process,100,2,20.0,152.8233532738401,38.06709214052386,195.453096719966,103.44831153487803
Gaussian_Process,100,3,21.0,135.13790912476935,27.276065411567988,174.8847116187584,77.0084958724434
Gaussian_Process,100,4,22.0,204.2903185304019,59.03440738447492,313.4904491633917,102.57630294654271
Gaussian_Process,150,0,21.0,80.49659896208475,17.530531950588763,112.43112421794567,52.59540611388934
Gaussian_Process,150,1,21.0,122.64101015684975,25.652775142941373,211.560490095569,55.12437526846736
Gaussian_Process,150,2,19.0,128.51381782728646,25.85897005064625,163.28242783129926,100.10559052920826
Gaussian_Process,150,3,21.0,117.92239445454301,28.770443272330596,164.00231906710192,72.06520884385748
Gaussian_Process,150,4,20.0,176.8948150513505,31.98081412833932,289.34750083736355,80.20722752618838
Heteroscedastic_MLP_v2,50,0,22.0,120.66528424349698,41.3211060414204,203.8478906211688,60.102206420898455
Heteroscedastic_MLP_v2,50,1,22.0,122.52469163374467,26.188379371907274,186.51869882967324,64.63310241699219
Heteroscedastic_MLP_v2,50,2,22.0,202.52253702337094,99.52493481613084,268.819067235494,138.2476989746094
Heteroscedastic_MLP_v2,50,3,22.0,157.75773041465064,39.03012661295971,219.84137201184276,77.15483856201169
Heteroscedastic_MLP_v2,50,4,22.0,233.90187821821735,72.05816656235588,334.45593647366644,186.98854370117186
Heteroscedastic_MLP_v2,100,0,22.0,131.9264352971857,43.84525150391153,200.228901896913,63.305989074707014
Heteroscedastic_MLP_v2,100,1,22.0,147.49305281205605,35.761631564393056,219.40960903610207,86.23620605468747
Heteroscedastic_MLP_v2,100,2,20.0,306.44368751525883,101.459850424103,863.2048247750018,80.29292449951168
Heteroscedastic_MLP_v2,100,3,21.0,200.22004590715682,35.29849969919274,309.00113350808255,102.21330566406256
Heteroscedastic_MLP_v2,100,4,22.0,191.9324381048029,55.764351702193444,292.3755402339337,88.0901252746582
Heteroscedastic_MLP_v2,150,0,21.0,95.14457455589657,19.34007638365548,146.44865222967383,62.63347473144529
Heteroscedastic_MLP_v2,150,1,21.0,148.18779158819288,31.096019216672083,240.7158892952905,71.21184082031255
Heteroscedastic_MLP_v2,150,2,19.0,117.36501127544201,22.825750235399873,156.3333302278589,67.59636230468755
Heteroscedastic_MLP_v2,150,3,21.0,151.57385253906253,35.917582810982424,220.60363450382275,107.0292907714844
Heteroscedastic_MLP_v2,150,4,20.0,173.21698844909668,32.667204754990024,286.6462264612056,90.16730117797852
Hyper_Deep_Ensemble,50,0,22.0,100.45656828446822,33.146889160521305,158.3206270297537,57.182037353515625
Hyper_Deep_Ensemble,50,1,22.0,130.91840223832563,29.636972611025048,241.83864149079923,68.38199996948242
