n_seeds,n_test,MAE,MedAE,RMSE,mean_sigma,PICP_gauss,MPIW_gauss,NLL_gauss,CRPS_gauss,PICP_conformal,MPIW_conformal,q_hat,method,n_early,fold
10,22,447.51996009133074,192.12386322021484,921.5581396057353,297.65236698297946,0.5,1166.7972785732798,11.85828238648058,319.8643660203676,0.8636363636363636,961.8130111694336,480.9065055847168,Heteroscedastic_MLP,50,2
10,22,224.920724140514,150.60542526245118,294.38242960168,85.45271772808886,0.5,334.97465349410845,21.925155967270996,185.57475475772742,0.9545454545454546,1006.2890960693362,503.144548034668,Heteroscedastic_MLP,50,3
10,22,1087.9127863970668,314.1230804443359,3105.000840025591,2068.7401027896963,0.6363636363636364,8109.46120293561,11.333736925275714,801.0764224674008,1.0,39536.91487426756,19768.457437133788,Heteroscedastic_MLP,50,4
10,22,229.0801598982378,134.8993232727051,393.10157736127894,108.05665059289282,0.45454545454545453,423.5820703241399,32.12967299001472,176.50119663447393,0.9545454545454546,2118.747509765626,1059.3737548828126,Heteroscedastic_MLP,100,0
10,22,760.671059729836,168.23978424072266,2366.361016077513,938.567575642305,0.5454545454545454,3679.184896517836,11.212780427620405,498.8257129912781,0.9545454545454546,4864.528344726565,2432.2641723632814,Heteroscedastic_MLP,100,1
10,20,2427322823982938.0,233.83897705078124,1.0855317675522968e+16,5832821218401312.0,0.45,2.2864659176133144e+16,28.760129065008705,1760367260604761.0,0.95,3917072.0044531254,1958536.00234375,Heteroscedastic_MLP,100,2
10,21,326.17330678304035,181.11881408691409,617.6174008609786,230.43011879224807,0.3333333333333333,903.2860656656121,16.882192951376954,247.61128130058717,0.9523809523809523,3819.3548583984375,1909.6774291992188,Heteroscedastic_MLP,100,3
10,22,311.1113719073209,176.29054107666016,481.45914512875987,140.53768052076109,0.5454545454545454,550.9077076413836,34.905829849021366,253.77056519466643,1.0,12606.069848632813,6303.034924316406,Heteroscedastic_MLP,100,4
10,21,268.3374555315289,88.2703918457031,703.2491990761414,159.64621046601079,0.42857142857142855,625.8131450267624,11.91790872625725,194.83829184924605,0.9523809523809523,1708.6739013671877,854.3369506835938,Heteroscedastic_MLP,150,0
10,21,629.025657453991,178.89039993286133,1581.7469907714333,857.5686337858567,0.7142857142857143,3361.6690444405576,9.72846944701018,435.74058659309856,1.0,14445.176208496094,7222.588104248047,Heteroscedastic_MLP,150,1
10,19,2712.579485561973,235.78076324462893,9752.629202784721,1978.7942622823596,0.5263157894736842,7756.873508146848,22.92160306812495,1778.6095619303267,1.0,5642537.20625,2821268.603125,Heteroscedastic_MLP,150,2
10,21,inf,223.78844299316404,inf,,0.47619047619047616,,,,0.8095238095238095,,2729.871142578125,Heteroscedastic_MLP,150,3
10,20,307.48069396972653,254.8052360534668,422.35737523138494,146.72886410427472,0.55,575.177147288757,10.480273413323388,235.29736300190234,1.0,5100.390637207032,2550.1953186035157,Heteroscedastic_MLP,150,4
10,22,96.92158891504461,57.226603012085036,153.66036869630625,21.77972513721226,0.36363636363636365,85.37652253787206,43.758529643464556,88.93792358108176,1.0,1731.1856667073569,865.5928333536783,Combined_UQ_PINN_Knee,50,0
10,22,131.16412585287384,56.110270016988125,242.0220224068564,20.584913435349673,0.3181818181818182,80.6928606665707,164.38707970007235,121.58335363685237,0.9090909090909091,918.102731933594,459.0513659667968,Combined_UQ_PINN_Knee,50,1
10,22,155.52845417138303,54.92484016418456,232.23658844851695,28.665938515647436,0.3181818181818182,112.37047898133795,56.13281514847973,145.56224452243544,0.8636363636363636,799.6807493082684,399.8403746541342,Combined_UQ_PINN_Knee,50,2
10,22,149.5972323705572,68.14269012451169,214.11636159026963,21.786544469333975,0.4090909090909091,85.40325431978918,81.97350934791226,138.69423339376678,1.0,1055.0479169718421,527.5239584859212,Combined_UQ_PINN_Knee,50,3
10,22,202.43844702586983,82.49649424990018,334.53213278892946,29.956609607654023,0.36363636363636365,117.42990966200378,115.65098819898839,189.98719874991187,0.9545454545454546,915.2158510335286,457.60792551676434,Combined_UQ_PINN_Knee,50,4
10,22,85.15680473067545,46.60320187886555,146.5356257158576,29.001422174770983,0.5,113.6855749251023,24.66088608474557,76.1475599541131,1.0,1645.9547947184249,822.9773973592122,Combined_UQ_PINN_Knee,100,0
10,22,126.14699917648774,56.35855585734052,229.38299060700422,32.557310804691376,0.5454545454545454,127.62465835439016,39.78931322907312,114.22220875900445,0.9090909090909091,740.4084519449866,370.2042259724934,Combined_UQ_PINN_Knee,100,1
10,20,155.52229747009272,102.36371981302898,206.4972494958099,66.20092536985483,0.65,259.5076274498309,9.5209797807028,126.30402321859022,0.95,854.0162416585287,427.0081208292643,Combined_UQ_PINN_Knee,100,2
10,21,128.0169892186967,39.982589772542326,180.10812757727714,32.23213532153188,0.47619047619047616,126.34997046040495,57.457141900277165,114.90875485857843,1.0,974.2985734049478,487.14928670247394,Combined_UQ_PINN_Knee,100,3
10,22,195.6454040007158,86.22738717397058,320.55820952699855,30.522158984295267,0.3181818181818182,119.64686321843746,188.80196064757067,182.3510825782424,0.9545454545454546,848.2380299886066,424.1190149943033,Combined_UQ_PINN_Knee,100,4
10,21,69.02609421745179,32.40660349527994,108.8540023306739,19.55256111541468,0.47619047619047616,76.64603957242556,21.830864220840763,61.315430483385725,1.0,1579.5855930582682,789.7927965291341,Combined_UQ_PINN_Knee,150,0
10,21,117.52818162948367,49.4046754964192,215.51630170372644,16.230506354396304,0.42857142857142855,63.623584909233536,179.0551527070282,110.17697087519595,0.9047619047619048,618.3777195231121,309.188859761556,Combined_UQ_PINN_Knee,150,1
10,19,110.41059528016208,64.19581837972004,157.26865555107963,21.70906027982543,0.42105263157894735,85.09951629691568,41.56457793492816,101.84425553636771,0.8947368421052632,605.4516117350262,302.72580586751303,Combined_UQ_PINN_Knee,150,2
