n_early,fold,ensemble_size,MAE,PICP_gauss,MPIW_gauss,PICP_conformal,MPIW_conformal
100,0,5,89.52035182606087,0.45454545454545453,101.22198919856456,1.0,1673.6534790039063
100,0,8,86.61100595647639,0.5454545454545454,120.96198966608381,1.0,1640.8842849731445
100,0,10,85.28415187488903,0.5,113.28096201050771,1.0,1643.4161437988282
100,1,2,150.7159555608576,0.6363636363636364,236.75862055474488,0.9090909090909091,753.57861328125
100,1,3,139.78201155229047,0.6363636363636364,196.24455752528013,0.9090909090909091,753.1056722005209
100,1,5,130.30421572598542,0.5909090909090909,165.39246567320768,0.9090909090909091,739.7005004882812
100,1,8,126.7417989210649,0.5454545454545454,139.67166668105904,0.9090909090909091,742.6389846801758
100,1,10,126.04316544966264,0.5454545454545454,126.53012865147019,0.9090909090909091,742.6035583496093
100,2,2,153.9966220855713,0.55,214.59255987326296,0.9,789.1796569824219
100,2,3,151.4837725321452,0.45,202.8627302660487,0.9,797.5842895507812
100,2,5,150.17683166503906,0.4,166.59417089385232,0.9,804.825927734375
100,2,8,154.07003955841066,0.65,252.75935890094706,0.95,831.6855773925781
100,2,10,155.39056678771973,0.65,260.6205360316999,0.95,849.1290100097656
100,3,2,131.3747329711914,0.6666666666666666,240.3897163053427,1.0,927.0887756347656
100,3,3,128.79766676161026,0.5238095238095238,198.223948689892,1.0,957.6488444010416
100,3,5,124.27445010230655,0.5238095238095238,153.25529029143277,1.0,956.3100830078125
100,3,8,127.47430419921875,0.47619047619047616,134.12570008239624,1.0,967.4250717163086
100,3,10,127.50511401948476,0.47619047619047616,126.01847734923497,1.0,974.1587524414062
100,4,2,204.34119363264605,0.36363636363636365,172.1030829645806,0.8636363636363636,798.7597045898438
100,4,3,200.66739388668177,0.3181818181818182,161.93588934955818,0.8636363636363636,813.0176188151041
100,4,5,197.8352076443759,0.3181818181818182,138.0397027908748,0.9545454545454546,824.431103515625
100,4,8,195.71938614411786,0.3181818181818182,129.48287578116708,0.9545454545454546,840.3652648925781
100,4,10,195.59815781333228,0.3181818181818182,119.06734099713817,0.9545454545454546,845.3103393554687
